timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1491897392825,1482,27 /,200,OK,bp10 9-1,text,true,,10316,904,1,9,494,0,65
1491897394619,274,31 /layouts/system/VisitorIdentification.js,200,OK,bp10 9-1,text,true,,1528,412,1,9,274,0,65
1491897395196,8,32 /assets/r-B6BE34619D738D15880CCD7B0B7C93D5/uwaCss.css,200,OK,bp10 9-1,text,true,,61813,440,1,9,4,0,0
1491897395508,4,33 /assets/r-0DF3025DFD45326BBA4E75A9ECAED483/modernizrJs.js,200,OK,bp10 9-1,text,true,,6313,429,1,9,4,0,0
1491897395820,245,34 /visualid/lib/font-awesome/font-awesome.4.latest.css,200,OK,bp10 9-1,text,true,,37872,452,1,9,101,0,50
1491897396366,9,36 /assets/r-772E2629E969026E53EBA20227688FD7/uwaJs.js,200,OK,bp10 9-1,text,true,,102688,423,1,9,4,0,0
1491897396678,7,37 /assets/dist/images/logo-full-hor-rev.png,200,OK,bp10 9-1,bin,true,,5430,438,1,9,7,0,2
1491897396990,43,40 /assets/dist/images/main-strokes.jpg,200,OK,bp10 9-1,bin,true,,878458,485,1,9,4,0,0
1491897397333,153,39 /gtm.js,200,OK,bp10 9-1,text,true,,38688,338,1,9,140,0,4
1491897397786,4,42 /assets/dist/fonts/glyphicons-halflings-regular.woff,200,OK,bp10 9-1,text,true,,23804,507,1,9,4,0,0
1491897398098,4,43 /assets/dist/fonts/uwa-icon-font/uwa-icon-font.woff,200,OK,bp10 9-1,text,true,,10646,506,1,9,4,0,0
1491897398410,635,45 /analytics/1489393800000/2102409.js,200,OK,bp10 9-1,text,true,,21175,412,2,11,634,0,163
1491897399346,269,46 /devices/uwamenu-sitemap-cache.php,200,OK,bp10 9-1,text,true,,236,391,2,11,269,0,218
1491897398987,919,27 /,200,OK,bp10 9-2,text,true,,10315,904,2,11,10,0,2
1491897399923,220,48 /assets/dist/images/indigenous-row.jpg,200,OK,bp10 9-1,bin,true,,125837,487,2,11,211,0,2
1491897400204,10,31 /layouts/system/VisitorIdentification.js,200,OK,bp10 9-2,text,true,,1528,412,2,11,10,0,2
1491897400453,4,49 /assets/dist/images/footer-go8.png,200,OK,bp10 9-1,bin,true,,2480,483,2,11,4,0,0
1491897400516,7,32 /assets/r-B6BE34619D738D15880CCD7B0B7C93D5/uwaCss.css,200,OK,bp10 9-2,text,true,,61813,440,2,11,3,0,0
1491897400765,4,50 /assets/dist/images/footer-social-conversation.png,200,OK,bp10 9-1,bin,true,,2119,499,2,11,4,0,0
1491897400828,3,33 /assets/r-0DF3025DFD45326BBA4E75A9ECAED483/modernizrJs.js,200,OK,bp10 9-2,text,true,,6313,429,2,11,3,0,0
1491897401078,6,51 /assets/dist/images/svg/logo-full-hor-rev.svg,200,OK,bp10 9-1,bin,true,,8981,494,2,11,6,0,0
1491897401140,243,34 /visualid/lib/font-awesome/font-awesome.4.latest.css,200,OK,bp10 9-2,text,true,,37872,452,2,11,99,0,48
1491897401389,4,52 /assets/dist/images/footer-art-alt.png,200,OK,bp10 9-1,bin,true,,15066,487,2,11,4,0,0
1491897401683,30,36 /assets/r-772E2629E969026E53EBA20227688FD7/uwaJs.js,200,OK,bp10 9-2,text,true,,102711,423,2,11,8,0,0
1491897401698,52,41 /-/media/images/carousels/corporate/home/homepage-hero-graduation.jpg,200,OK,bp10 9-1,bin,true,,209705,466,2,11,42,0,0
1491897402010,4,37 /assets/dist/images/logo-full-hor-rev.png,200,OK,bp10 9-2,bin,true,,5430,438,2,11,4,0,0
1491897402057,311,53 /assets/dist/images/bx_loader.gif,200,OK,bp10 9-1,bin,true,,7064,482,2,11,311,0,2
1491897402322,106,40 /assets/dist/images/main-strokes.jpg,200,OK,bp10 9-2,bin,true,,878458,485,2,11,71,0,2
1491897402666,127,54 /bat.js,200,OK,bp10 9-1,text,true,,4159,377,2,11,127,0,5
1491897402728,151,39 /gtm.js,200,OK,bp10 9-2,text,true,,38688,338,2,11,139,0,2
1491897403180,5,42 /assets/dist/fonts/glyphicons-halflings-regular.woff,200,OK,bp10 9-2,text,true,,23804,507,2,11,4,0,0
1491897403102,127,56 /action/0,204,No Content,bp10 9-1,,true,,559,557,2,11,0,0,0
1491897403492,11,43 /assets/dist/fonts/uwa-icon-font/uwa-icon-font.woff,200,OK,bp10 9-2,text,true,,10646,506,2,11,11,0,0
1491897403804,6,45 /analytics/1489393800000/2102409.js,200,OK,bp10 9-2,text,true,,21175,412,2,11,6,0,3
1491897403539,490,59 /action-uic/0,204,No Content,bp10 9-1,,true,,446,562,2,11,0,0,343
1491897404116,105,46 /devices/uwamenu-sitemap-cache.php,200,OK,bp10 9-2,text,true,,236,391,2,11,105,0,53
1491897404522,15,48 /assets/dist/images/indigenous-row.jpg,200,OK,bp10 9-2,bin,true,,125837,487,2,11,7,0,2
1491897404335,398,57 /activityi;src=5061140;type=basem0;cat=uwa-a0;ord=110503073462;~oref=http%3A%2F%2Fwww.uwa.edu.au%2F,200,OK,bp10 9-1,text,true,,1681,1204,2,11,265,0,134
1491897404823,4,49 /assets/dist/images/footer-go8.png,200,OK,bp10 9-2,bin,true,,2480,483,2,11,4,0,0
