timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1493005595550,1260,27 /,200,OK,bp10 9-1,text,true,,10327,904,1,9,60,0,2
1493005595441,1455,1 /,200,OK,bp01 1-1,text,true,,27488,928,1,9,532,0,518
1493005595550,1362,13 /,200,OK,bp08 7-1,text,true,,27492,928,1,9,423,0,409
1493005595242,1362,bp08s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp08 7-1,,true,,27492,928,1,9,423,308,409
1493005595519,1658,17 /,200,OK,bp05 5-1,text,true,,27484,930,1,9,454,0,440
1493005595208,1658,bp05s1 ,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,27484,930,1,9,454,312,440
1493005595550,1657,13 /,200,OK,bp09 8-1,text,true,,27477,928,1,9,423,0,409
1493005595246,1657,bp09s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 8-1,,true,,27477,928,1,9,423,304,409
1493005595441,1776,4 /,200,OK,bp02 2-1,text,true,,27476,928,1,9,531,0,518
1493005597111,108,31 /layouts/system/VisitorIdentification.js,200,OK,bp10 9-1,text,true,,1528,412,1,9,108,0,2
1493005595456,1916,17 /,200,OK,bp04 4-1,text,true,,27479,1140,1,9,519,0,503
1493005595153,1916,bp04s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp04 4-1,,true,,27479,1140,1,9,519,303,503
1493005595441,1971,41 /,200,OK,bp03 3-1,text,true,,27481,980,1,9,534,0,518
1493005595141,1971,bp03s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp03 3-1,,true,,27481,980,1,9,534,301,518
1493005595550,1945,4 /,200,OK,bp06 6-1,text,true,,27474,928,1,9,422,0,409
1493005597517,6,32 /assets/r-B6BE34619D738D15880CCD7B0B7C93D5/uwaCss.css,200,OK,bp10 9-1,text,true,,61813,440,1,9,2,0,0
1493005597673,2,BeanShell Sampler,200,OK,bp04 4-1,text,true,,0,0,1,9,0,0,0
1493005597829,3,33 /assets/r-0DF3025DFD45326BBA4E75A9ECAED483/modernizrJs.js,200,OK,bp10 9-1,text,true,,6312,429,1,9,2,0,0
1493005597719,381,46 /UWAFS/LoginRegister/LoginRegisterUser,200,OK,bp03 3-1,text,true,,3114,1838,1,9,193,0,20
