timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1493777116592,5726,bp01s1,200,OK,bp01 1-1,text,true,,158695,0,1,5,0,0,0
1493777116592,5767,bp03s1,200,OK,bp03 3-1,text,true,,158694,0,1,5,0,0,0
1493777116593,6361,bp02s0A,200,OK,bp02 2-1,text,true,,158688,0,1,5,0,0,0
1493777122780,419,bp01s2,200,OK,bp01 1-1,text,true,,158863,0,1,5,0,0,0
1493777116592,6841,bp04s1,200,OK,bp04 4-1,text,true,,158694,0,1,5,0,0,0
1493777122879,380,bp03s2,200,OK,bp03 3-1,text,true,,158862,0,1,5,0,0,0
1493777116592,6984,bp05s1,200,OK,bp05 5-1,text,true,,158695,0,1,5,0,0,0
1493777123944,166,bp03s3,200,OK,bp03 3-1,text,true,,158862,0,1,5,0,0,0
1493777123975,205,bp05s2,200,OK,bp05 5-1,text,true,,157477,0,1,5,0,0,0
1493777124650,1821,jp@gc - WebDriver Sampler,200,OK,bp05 5-1,text,true,,93474,0,1,5,0,0,0
1493777115709,9010,bp05,200,"Number of samples in transaction : 3, number of failing samples : 0",bp05 5-1,,true,,409646,0,1,5,0,1750,0
1493777123403,3825,bp02s0B,200,OK,bp02 2-1,text,false,Test failed: text expected to contain /<title>Find a Course</title>/,157337,0,1,5,0,0,0
1493777123825,5332,bp04s2,200,OK,bp04 4-1,text,false,Test failed: text expected to contain /<title>Find a Course</title>/,122080,0,1,5,0,0,0
1493777124604,499,bp03s4,200,OK,bp03 3-1,text,true,,91888,0,1,5,0,0,0
1493777123720,6581,bp01s3,200,OK,bp01 1-1,text,true,,91889,0,1,5,0,0,0
1493777129500,5163,bp04s3,200,OK,bp04 4-1,text,true,,158544,0,1,5,0,0,0
1493777115709,17336,bp04,,"Number of samples in transaction : 3, number of failing samples : 1",bp04 4-1,,false,,439318,0,1,5,0,1624,0
1493777130065,8754,bp03s5,200,OK,bp03 3-1,text,true,,158694,0,1,5,0,0,0
1493777115623,15566,bp03,200,"Number of samples in transaction : 5, number of failing samples : 0",bp03 3-1,,true,,727000,0,1,5,0,7627,0
1493777130628,8910,bp01s4,200,OK,bp01 1-1,text,true,,158538,0,1,5,0,0,0
1493777115694,21636,bp01,200,"Number of samples in transaction : 4, number of failing samples : 0",bp01 1-1,,true,,567985,0,1,5,0,2203,0
1493777127563,17160,bp02s0C,200,OK,bp02 2-1,text,true,,181022,0,1,5,0,0,0
1493777145051,3037,bp02s1,200,OK,bp02 2-1,text,false,"Test failed: text expected to contain /Neuroscience"" class=""tile-row-list-item tile/",158558,0,1,5,0,0,0
1493777115694,30383,bp02,,"Number of samples in transaction : 4, number of failing samples : 2",bp02 2-1,,false,,655605,0,1,5,0,2004,0
1493777307081,2962,bp05s1,200,OK,bp05 5-1,text,true,,158544,0,1,5,0,0,0
1493777310377,114,bp05s2,200,OK,bp05 5-1,text,true,,157218,0,1,5,0,0,0
1493777310884,1551,jp@gc - WebDriver Sampler,200,OK,bp05 5-1,text,true,,93473,0,1,5,0,0,0
1493777306770,4627,bp05,200,"Number of samples in transaction : 3, number of failing samples : 0",bp05 5-1,,true,,409235,0,1,5,0,1056,0
1493777315266,3865,bp04s1,200,OK,bp04 4-1,text,true,,158543,0,1,5,0,0,0
1493777319544,3124,bp04s2,200,OK,bp04 4-1,text,false,Test failed: text expected to contain /<title>Find a Course</title>/,103674,0,1,5,0,0,0
1493777319468,4463,bp03s1,200,OK,bp03 3-1,text,true,,158695,0,1,5,0,0,0
1493777320170,4335,bp01s1,200,OK,bp01 1-1,text,true,,158544,0,1,5,0,0,0
1493777324274,113,bp03s2,200,OK,bp03 3-1,text,true,,158863,0,1,5,0,0,0
1493777324855,171,bp01s2,200,OK,bp01 1-1,text,true,,158604,0,1,5,0,0,0
1493777325330,82,bp03s3,200,OK,bp03 3-1,text,true,,158863,0,1,5,0,0,0
1493777323015,3273,bp04s3,200,OK,bp04 4-1,text,true,,158540,0,1,5,0,0,0
1493777314948,10262,bp04,,"Number of samples in transaction : 3, number of failing samples : 1",bp04 4-1,,false,,420757,0,1,5,0,1023,0
1493777325871,436,bp03s4,200,OK,bp03 3-1,text,true,,91887,0,1,5,0,0,0
1493777325428,5170,bp01s3,200,OK,bp01 1-1,text,true,,91889,0,1,5,0,0,0
1493777328744,4442,bp02s0A,200,OK,bp02 2-1,text,true,,158556,0,1,5,0,0,0
1493777333531,3576,bp02s0B,200,OK,bp02 2-1,text,false,Test failed: text expected to contain /<title>Find a Course</title>/,157184,0,1,5,0,0,0
1493777329959,7431,bp03s5,200,OK,bp03 3-1,text,true,,158695,0,1,5,0,0,0
1493777319148,12525,bp03,200,"Number of samples in transaction : 5, number of failing samples : 0",bp03 3-1,,true,,727003,0,1,5,0,5742,0
1493777330922,6861,bp01s4,200,OK,bp01 1-1,text,true,,158541,0,1,5,0,0,0
1493777319863,16537,bp01,200,"Number of samples in transaction : 4, number of failing samples : 0",bp01 1-1,,true,,567578,0,1,5,0,1406,0
1493777337441,19597,bp02s0C,200,OK,bp02 2-1,text,true,,198104,0,1,5,0,0,0
1493777357361,3211,bp02s1,200,OK,bp02 2-1,text,false,"Test failed: text expected to contain /Pathology-and-Laboratory-Medicine"" class=""tile-row-list-item tile/",158688,0,1,5,0,0,0
1493777328437,30826,bp02,,"Number of samples in transaction : 4, number of failing samples : 2",bp02 2-1,,false,,672532,0,1,5,0,1356,0
1493777493125,4187,bp05s1,200,OK,bp05 5-1,text,true,,158539,0,1,5,0,0,0
1493777497669,111,bp05s2,200,OK,bp05 5-1,text,true,,157213,0,1,5,0,0,0
1493777498231,1526,jp@gc - WebDriver Sampler,200,OK,bp05 5-1,text,true,,93474,0,1,5,0,0,0
