timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1494486638539,1150,27 /,200,OK,bp10 10-1,text,true,,10385,904,1,10,44,0,2
1494486639990,16,31 /layouts/system/VisitorIdentification.js,200,OK,bp10 10-1,text,true,,1528,412,1,10,16,0,10
1494486640317,6,32 /assets/r-B6BE34619D738D15880CCD7B0B7C93D5/uwaCss.css,200,OK,bp10 10-1,text,true,,61813,440,1,10,4,0,0
1494486640629,3,33 /assets/r-0DF3025DFD45326BBA4E75A9ECAED483/modernizrJs.js,200,OK,bp10 10-1,text,true,,6313,429,1,10,3,0,0
1494486640941,285,34 /visualid/lib/font-awesome/font-awesome.4.latest.css,200,OK,bp10 10-1,text,true,,37872,452,1,10,145,0,95
1494486638507,2753,17 /,200,OK,bp04 4-1,text,true,,23163,1140,1,10,554,0,544
1494486638200,2753,bp04s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp04 4-1,,true,,23163,1140,1,10,554,307,544
1494486638491,2936,4 /,200,OK,bp02 2-1,text,true,,23173,928,1,10,569,0,560
1494486638539,2905,13 /,200,OK,bp09 9-1,text,true,,23158,928,1,10,521,0,512
1494486638236,2905,bp09s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,23158,928,1,10,521,303,512
1494486638539,2922,13 /,200,OK,bp08 8-1,text,true,,23164,928,1,10,521,0,512
1494486638233,2922,bp08s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp08 8-1,,true,,23164,928,1,10,521,306,512
1494486638492,3035,41 /,200,OK,bp03 3-1,text,true,,23168,980,1,10,569,0,559
1494486638181,3035,bp03s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp03 3-1,,true,,23168,980,1,10,569,313,559
1494486641534,18,36 /assets/r-772E2629E969026E53EBA20227688FD7/uwaJs.js,200,OK,bp10 10-1,text,true,,102672,423,1,10,14,0,0
1494486638491,3071,1 /,200,OK,bp01 1-1,text,true,,22780,464,1,10,3070,0,628
1494486641565,21,BeanShell Sampler,200,OK,bp04 4-1,text,true,,0,0,1,10,0,0,0
1494486638523,3281,17 /,200,OK,bp05 5-1,text,true,,23181,930,1,10,537,0,528
1494486638226,3281,bp05s1 ,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,23181,930,1,10,537,298,528
1494486638539,3284,4 /,200,OK,bp06 6-1,text,true,,23157,928,1,10,521,0,512
1494486641877,6,37 /assets/dist/images/logo-full-hor-rev.png,200,OK,bp10 10-1,bin,true,,5430,438,1,10,6,0,0
1494486641830,71,46 /UWAFS/LoginRegister/LoginRegisterUser,200,OK,bp03 3-1,text,true,,3234,1839,1,10,11,0,7
1494486642189,41,40 /assets/dist/images/main-strokes.jpg,200,OK,bp10 10-1,bin,true,,878458,485,1,10,9,0,2
1494486642532,151,39 /gtm.js,200,OK,bp10 10-1,text,true,,39568,338,1,10,138,0,4
1494486642985,5,42 /assets/dist/fonts/glyphicons-halflings-regular.woff,200,OK,bp10 10-1,text,true,,23804,507,1,10,5,0,0
1494486643298,4,43 /assets/dist/fonts/uwa-icon-font/uwa-icon-font.woff,200,OK,bp10 10-1,text,true,,10646,506,1,10,4,0,0
1494486641768,1784,22 /find-a-course,200,OK,bp08 8-1,text,true,,32958,1016,1,10,6,0,3
1494486641462,1784,bp08s2,200,"Number of samples in transaction : 1, number of failing samples : 0",bp08 8-1,,true,,32958,1016,1,10,6,307,3
1494486642111,1452,20 /Events/Open-day,200,OK,bp05 5-1,text,true,,16189,1072,1,10,597,0,3
1494486641805,1452,bp05s4,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,16189,1072,1,10,597,307,3
1494486641752,1852,22 /find-a-course,200,OK,bp09 9-1,text,true,,45417,1014,1,10,5,0,2
1494486641445,1852,bp09s2,200,"Number of samples in transaction : 1, number of failing samples : 0",bp09 9-1,,true,,45417,1014,1,10,5,308,2
1494486643584,398,45 /analytics/1489393800000/2102409.js,200,OK,bp10 10-1,text,true,,21355,412,1,10,397,0,394
1494486641893,2142,?typeOfSearch=course&term=e&json=true,200,OK,bp04 4-1,text,true,,90934,354,1,10,17,0,6
1494486641738,2298,5 /,200,OK,bp02 2-1,text,true,,22726,1408,1,10,7,0,3
1494486638175,5234,bp02s0A,200,"Number of samples in transaction : 2, number of failing samples : 0",bp02 2-1,,true,,45899,2336,1,10,576,627,563
1494486641877,2159,3 /,200,OK,bp01 1-1,text,true,,22725,1408,1,10,6,0,3
1494486638175,5230,bp01s1,200,"Number of samples in transaction : 2, number of failing samples : 0",bp01 1-1,,true,,45505,1872,1,10,3076,631,631
1494486642127,2107,5 /,200,OK,bp06 6-1,text,true,,23164,928,1,10,51,0,7
1494486638230,5391,bp06s1,200,"Number of samples in transaction : 2, number of failing samples : 0",bp06 6-1,,true,,46321,1856,1,10,572,613,519
1494486644281,242,46 /devices/uwamenu-sitemap-cache.php,200,OK,bp10 10-1,text,true,,236,391,1,10,241,0,192
1494486644826,17,48 /assets/dist/images/indigenous-row.jpg,200,OK,bp10 10-1,bin,true,,125837,487,1,10,9,0,3
1494486645154,5,49 /assets/dist/images/footer-go8.png,200,OK,bp10 10-1,bin,true,,2480,483,1,10,5,0,0
1494486645466,7,50 /assets/dist/images/footer-social-conversation.png,200,OK,bp10 10-1,bin,true,,2119,499,1,10,7,0,0
1494486638539,6963,87 /,200,OK,bp07 7-1,text,true,,22793,468,1,10,6962,0,146
1494486638232,6963,bp07s1,200,"Number of samples in transaction : 1, number of failing samples : 0",bp07 7-1,,true,,22793,468,1,10,6962,308,146
1494486643937,1836,23 /courses/Doctor-of-Clinical-Dentistry,200,OK,bp09 9-1,text,true,,30509,1178,1,10,48,0,4
1494486645778,11,51 /assets/dist/images/svg/logo-full-hor-rev.svg,200,OK,bp10 10-1,bin,true,,8981,494,1,10,10,0,0
1494486644343,1648,9 /find-a-course,200,OK,bp02 2-1,text,true,,19325,1532,1,10,10,0,5
1494486644037,1648,bp02s0B,200,"Number of samples in transaction : 1, number of failing samples : 0",bp02 2-1,,true,,19325,1532,1,10,10,306,5
1494486646077,17,52 /assets/dist/images/footer-art-alt.png,200,OK,bp10 10-1,bin,true,,15066,487,1,10,10,0,0
1494486643863,2463,21 /,200,OK,bp05 5-1,text,true,,23165,1062,1,10,10,0,0
1494486643565,2463,bp05s5,200,"Number of samples in transaction : 1, number of failing samples : 0",bp05 5-1,,true,,23165,1062,1,10,10,298,0
1494486638226,7196,bp05,200,"Number of samples in transaction : 5, number of failing samples : 0",bp05 5-1,,true,,62535,3064,1,10,1144,903,531
